title,review,country_date
3.0 out of 5 stars Not too happy,"Love these candles but this one I'm not happy with. It doesn't burn even! I've lit this candle for at least 4 hours every day and I've trimmed the wick, as you can see I've tried pushing the edges down... Nothing works. And now it won't even stay lit long enough to put out the wonderful scents that Yankee candles always has. Usually I buy straight from their website but I needed this candle quickly so I bought it here. I'll be sure to purchase straight from them next time and we'll see what happens","Reviewed in the United States on October 1, 2022"
"1.0 out of 5 stars Defective wick, it won’t burn at all",Not happy,"Reviewed in the United States on October 1, 2022"
5.0 out of 5 stars Lovely as always,Vanilla and or lavender are my favorites,"Reviewed in the United States on October 1, 2022"
1.0 out of 5 stars Melted Candle,"This candle smells great, but it was all melted and leaked all over the box","Reviewed in the United States on September 30, 2022"
5.0 out of 5 stars Scent,Will buy again,"Reviewed in the United States on September 29, 2022"
5.0 out of 5 stars Smells awesome!,Great candle. Smells like fall!!,"Reviewed in the United States on September 29, 2022"
2.0 out of 5 stars Where’s the scent?,"When these were on sale last week, I bought 2 Spiced Pumpkin (gifted one and kept one). But neither of us smell pumpkin or spices, even when lit. There’s essentially no smell at all. Makes me wonder if it really is a Yankee candle? Bad batch? Although on sale, not worth the money.","Reviewed in the United States on September 29, 2022"
5.0 out of 5 stars Yankee candle !!,For those that don't know Yankee candle makes an excellent product,"Reviewed in the United States on September 29, 2022"
5.0 out of 5 stars Great price for a great candle,"A superb price for a well name brand candle. Nice scent, throw and pretty good longevity","Reviewed in the United States on September 29, 2022"
2.0 out of 5 stars little disappointed,"I purchased two yankee candles. Love them, always have one burning. But honestly I’m a bit disappointed in the Pumpkin Spice scent. I’m not getting anything other than burning wick smell, and I’ve only been burning it a couple days now. We shall see how the other candle performs.. hopefully better than this one.","Reviewed in the United States on September 29, 2022"
2.0 out of 5 stars the odor doesnt last not strong at all,liked the delivery but not the product,"Reviewed in the United States on September 28, 2022"
5.0 out of 5 stars Nice fall scent,"This product works great, especially in smaller rooms. Good fall scent and last a long time.","Reviewed in the United States on September 28, 2022"
5.0 out of 5 stars Top Tier Candles,Yankee Candles always deliver such quality candles and I'm always glad to have one burning. The scent was amazing from first burn to last and it lasted quite a while.In the case if this review I had the scent of Vanilla Cupcake which I whole heartedly recommend. Your room will smell of freshly made cupcakes.,"Reviewed in the United States on September 28, 2022"
3.0 out of 5 stars Seems like an olproduct ct,"This is my fav Yankee candle scent but the items I received were definitely old candles. Their color is darker and the scent is not nearly as strong. Still love it but it isn't as good as original ""fresh"" candle.","Reviewed in the United States on September 27, 2022"
5.0 out of 5 stars Pumpkin season must have,I only buy Yankee Candles. It’s not worth my money to experiment with other brands. Smells awesome,"Reviewed in the United States on September 27, 2022"
5.0 out of 5 stars Love it!!,Great,"Reviewed in the United States on September 27, 2022"
1.0 out of 5 stars Quality Iffy - Buy at Your Own Risk,I wish I would have taken a photo when I received the package. I wanted to return it but my husband said ah no babe let’s give it a try. It was almost as if the candle had been melted once before (and no the package did not spend the day in the sun). The oil that holds the sent was and is significantly separated. It’s like light orange at the top and almost red at the bottom. I can kind of smell the sent but not like I normally would. I imagine that once we get toward the bottom of the candle it’s going to be like a spicy pumpkin hits me in the face.,"Reviewed in the United States on September 26, 2022"
5.0 out of 5 stars Sparkling Cinnamon smells like real cinnamon and cloves,"Sparkling Cinnamon smells wonderful! I wanted a cinnamon scented candle for the fall/Halloween season. I strongly dislike the artificial pumpkin and apple spice scents and wanted an authentic spice smell. This candle does smell like real cinnamon with a hint of cloves. The 22 oz jar is the standard large jar. I've only burned it once so far, but the wick lights well and the wax burns well. I expect this candle will last all season this year, and maybe next year too.","Reviewed in the United States on September 26, 2022"
3.0 out of 5 stars I think these are seconds,"Great price. One candle jar was covered with wagon the outside and in the cover. The other was ok. I bought these as gifts, but do to the appearance I will be keeping them. As I said a great price and the scent is wonderful. I don’t know how they will burn.","Reviewed in the United States on September 26, 2022"
5.0 out of 5 stars Perfect for Fall,"This was part of the Today's Deals, so for less than half price of the regular Large Jars, I tried this scent. It is wonderful! It is perfect for fall and isn't too sweet. I keep the lid open and you can still smell the scent subtly in the room. Definitely worth the Today's Deals price!","Reviewed in the United States on September 26, 2022"
1.0 out of 5 stars Worst. It doesn't smell at all,"The reason I used the Yankee Candle was the scent. It's not like I made it. I want to get a refund, but the procedure is complicated, so I'm going to leave it alone. I won't live again.","Reviewed in the United States on September 26, 2022"
5.0 out of 5 stars Our favorite candle scent.,"We all know Yankee has the most even burn and best scent all the way through the candle, but no wants to pay 20-25 bucks for a candle. Was nice to be able to find for a portion of that.","Reviewed in the United States on September 26, 2022"
5.0 out of 5 stars Scent is wonderful,Great value,"Reviewed in the United States on September 26, 2022"
5.0 out of 5 stars My favorite Yankee Candle,"Every single time I light it, whether for minutes or hours, and someone comes over (whether it's lit or not), they ALWAYS mention how good my house smells. 100% of the time. This candle is my favorite scent, although I have lots of close seconds!!!","Reviewed in the United States on September 25, 2022"
2.0 out of 5 stars No scent at all!,"Upon receipt and lifting the lid, the candle smelled wonderful but once its lit, there is absolutely no scent.Very disappointing, especially since I bought 2 of them.","Reviewed in the United States on September 25, 2022"
5.0 out of 5 stars ABSOLUTELTY LOVE THIS CANDLE!!! FABULOUS SMELL & AWESOME DEAL!,The scent is AMAZING and the candle is larger than I thought it would be! FANTASTIC BUY!!! If I could I would rate it a 10!!!A+++++Bought one as a gift for Mom & Sister too!WILL DEFINITELY BUY AGAIN!,"Reviewed in the United States on September 24, 2022"
"1.0 out of 5 stars Received full of bubbles, ungiftable.","NOT GIFTABLE! Received candle with wax full of bubbles and the look that it had already been melted, wax set away from glass jar. I purchased this for a gift but cannot present this as is. Not Yankee Candle quality!","Reviewed in the United States on September 24, 2022"
5.0 out of 5 stars Excellent cinnamon scent.,Great fall scent that makes my home smell delightful.,"Reviewed in the United States 🇺🇸 on September 24, 2022"
5.0 out of 5 stars LOVE LOVE LOVE,"The homey, clean, calming smell of this candle is perfect. Exactly what I was looking for. The scent lingers. This came exactly as described!","Reviewed in the United States 🇺🇸 on September 24, 2022"
5.0 out of 5 stars A Candle For That Pilgrim Kitchen Fragrance,"This Yankee Candle Kitchen Spice candle makes my home smell like a pilgrim kitchen in mid autumn 🍂…And have I smelled a pilgrim kitchen in mid autumn you might ask… Indeed I have at Plymouth Plantation here in Massachusetts…It’s a fragrance that’s at once, homey and transportive at the same time. Love ❤️ it!","Reviewed in the United States 🇺🇸 on September 24, 2022"
1.0 out of 5 stars Usually love to order from Yankee candle.,"The media could not be loaded. As you can see it looks like the candle had melted and leaked out through the lid. I had purchased this candle as a housewarming gift for a very close friend. I absolutely cannot give him this gift I am ashamed of the condition it is in and how it looks. I think maybe I should only be buying my Yankee candles from the store for now on. This is the first time it is ever happened to me in years that I have been purchasing solely Yankee candles.*UPDATE*My second candle came in in the same condition!!! For some reason if you purchase two of the same items you can only leave one review…SOOO, I added onto this review to make you aware!!! Maybe we all need to start shopping for our candles in the stores for our holiday gifts. You will be able to see both candles. And all the bubbles on the tops of them and air pockets on the sides and bottoms somewhere very large. I could never give either of these candles as a gift. Bonus me I guess","Reviewed in the United States 🇺🇸 on September 23, 2022"
1.0 out of 5 stars Waste of money,"There was no smell to this candle. Lighted the candle and still no smell, more like cardboard.","Reviewed in the United States 🇺🇸 on September 23, 2022"
1.0 out of 5 stars Most be last years candle,So dissappointed with Yankee. Doesn't hardly have pumpkin smell in it. Or this seller is selling old candles. No more. Took 8 days to get and can't enjoy it. Sad. Just go to store where I can smell first,"Reviewed in the United States 🇺🇸 on September 23, 2022"
2.0 out of 5 stars Yankee Candle,"Not what I expected. Smell didn’t last. Maybe because the lid wasn’t on it when it arrived, but off and the scent lost some of it’s smell. Other candles are much better for less $. I can’t say I’d buy another Yankee candle. Not sure what all the hype is about.","Reviewed in the United States 🇺🇸 on September 22, 2022"
2.0 out of 5 stars Mine was not a strong scent,The candle I received did not have a strong scent to it. I returned it. For more sensitive people it might be fine because it’s not strong. Maybe I just got a bad one because usually Yankee candles are very good. I would not buy this scent again.,"Reviewed in the United States 🇺🇸 on September 22, 2022"
"3.0 out of 5 stars Great coming out of the gate, but not much for stamina","This candle had a pleasant scent but no matter how short the wick was trimmed, it burned quickly and left the wick long and caused it to leave soot around the rim of the jar. It also smelled very waxy after just a couple of hours of being lit. I had to keep blowing it out, letting it cool completely, re-trim the wick every 2 hours to get the same fresh candle smell. I used to love Yankee Candles...idk what changed but they need to fix it.","Reviewed in the United States 🇺🇸 on September 21, 2022"
5.0 out of 5 stars It smells amazing and last long,I love it so much it smells amazing.,"Reviewed in the United States 🇺🇸 on September 21, 2022"
