title,author,date,abstract,column,url
Straddling the fence,Valerie Tan ,2022-09-21,"I quietly clung onto the selfish hope that everything could be frozen in time so that leaving could be as simple as hitting pause and returning, as effortless as picking up from where I left off.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092122-tan-straddling-the-fence
It's okay to change your mind,Heidi Smith ,2022-09-20,"I’ve come to the opinion that most things socially—obviously done in moderation and safely—can be a healthy break from the rigors and stresses of being a college student. This is almost embarrassingly banal, but it’s taken me a long time to get to this point.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/09202022-smith-changing-mind
Economics majors hold emergency council to address food point inflation,Monday Monday ,2022-09-19,“What if we made mobile orders into NFTs?”,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/180922-mondaymonday-econ-major-council
Changing your mind,Luke A. Powery ,2022-09-19,Learning can be an expansion or deconstruction or construction or a deepening or an enlightening—and all of this is change.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091922-powery-learning-change
This saga ends here,Ooha Reddy ,2022-09-16,Wednesday’s webinar droned on about the administration’s mission to create a “less fragmented community” and return students to their “home institution.” But DKU stopped being my home institution a while ago.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091622-reddy-this-saga-ends-here-dku
The “find your passion” narrative is a scam,Michelle Ling ,2022-09-16,"Having a passion is not a requirement to be a valuable and interesting person, and we are not meant to be packaged and labeled into something that other people can decide the worth of. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091622-ling-finding-your-passion-is-a-scam
"North Carolina politics: past, present, and future",Miranda Straubel ,2022-09-15," I have faith that one day our state will be able to take decisive action on climate change, taking advantage of natural resources to eliminate fossil fuels. We will eventually have the nation’s best public schools and safest communities. One day we will become the progressive beacon we once were, uplifting every community.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091522-straubel-nc-politics-past-present-future
Quarantine qualms: a reflection on contracting COVID-19 at the tail end of the pandemic,Advikaa Anand ,2022-09-15,"I had contracted the virus when it no longer dominated media headlines, creating distance between its harrowing physical impacts and other people’s perceptions. Nor did Duke provide the same wealth of resources for those quarantined as it did earlier in the pandemic.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091522-anand-quarantine-qualms
Stop disrespecting our bus drivers,Sonia Green ,2022-09-15,"Not only does yelling show an utter lack of respect, it’s also pointless and promotes the stereotype of the “entitled Duke student.”",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091522-green-bus-drivers
A Panda in a desert of bureaucracy,Abdel Shehata ,2022-09-14,"It is easy to counteract the increase in dining prices through an increase in dining financial aid, subsidizing healthier food options on campus, and expanding the food point system to 9th Street restaurants. However, all those suggestions do is treat a symptom not the disease itself: the bureaucratic and non transparent nature of the Duke administration. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091422-shehata-panda-in-desert-bureaucracy
I'm okay with you being dead,Linda Cao ,2022-09-14,"The idea of living with ambivalent feelings, a place without closure, is peculiarly uncomfortable.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091422-cao-okay-with-you-being-dead
SLGs or QuadEx? Why not both!,Pilar Kelly ,2022-09-13,"QuadEx should be embraced as an addition, not a substitution, to community at Duke",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091222-kelly-slg-quadex
"As food rots, so does my heritage",Ayesham Khan ,2022-09-13,"I am fearful of losing it all. Much of it is lost already, the intimacy of knowing the delivery boy, the closeness of picking out your fruit and meat, and the slowness of pickling your own carrots. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091222-khan-food-rots-heritage
"If you must be immoral, be honest about it",Dan Reznichenko ,2022-09-12,Nobody wants to admit that they’re making a choice that is some shade of gray. ,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/reznichenko-immoral-honest
The power of being alone,Sophie Ju ,2022-09-12,"If there’s only one thing I hope to share with my peers in the Class of 2026, it’s that the foundation for us to connect with this new community is to first connect with ourselves.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/091122-ju-power-alone
Transcending sexual consent,Billy Cao ,2022-09-09,"But in order for students to take consent to heart, they must first understand what makes wrongful sex wrong and undesirable sex undesirable, not the other way around. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090922-cao-consent
It’s easy to be scared,Sydney Brown ,2022-09-09,"What will your life be like if you allow yourself to choose one of them despite your fears? Where will you go? What will you miss out on if you don’t push through? A lot of life is what we make of it, so go do the thing that scares you the most. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090922-brown-scared
How to lose a conversation,Chi Nghiem ,2022-09-09,"In the search for a promptly sparking, effortlessly working romance, we objectify people, and that will in return objectify us. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090922-nghiem-conversation
